raw_expense_row_id,invoice_number,expense_date,amount,notes,exp_category_id,expense_category,approver_empl_id,approver_first_name,approver_last_name,approver_job_title,approver_email,approver_phone_number,office_id,office_name,office_street_address,office_city,office_state,office_zip_code,office_phone_number
1,20001,2026-03-02,600.64,Water delivery,1,Utilities,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,201-555-1111
2,20002,2026-03-03,600.83,Paper order,4,Office Supplies,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,WHITE PLAINS,NY,10601,9145551717
3,20003,2026-03-04,1496.68,Light bulbs,2,Maintenance,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St.,Princeton,NJ,8542,6095551414
4,20004,2026-03-05,352.07,Desk chairs,4,Office Supplies,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
5,20005,2026-03-06,2338.7,Electric bill,1,Utilities,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
6,20006,2026-03-07,146.65,Water delivery,1,Utilities,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
7,20007,2026-03-08,2736.73,Light bulbs,2,Maintenance,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
8,20008,2026-03-09,1035.22,Paper order,4,Office Supplies,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
9,20009,2026-03-10,2524.46,HVAC tune up,2,Maintenance,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
10,20010,2026-03-11,11406.36,Shared workspace fee,5,Rent,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
11,20011,2026-03-12,1123.3,electric bill,1,Utilities,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
12,20012,2026-03-13,1136.63,HVAC tune up,2,Maintenance,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,NEW YORK,NY,10001,2125551515
13,20013,2026-03-14,3658.98,Paint touch-up,2,Maintenance,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212
14,20014,2026-03-15,343.51,Broker event promo,3,Marketing,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414
15,20015,2026-03-16,2010,Internet overage,1,Utilities,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
16,20016,2026-03-17,1906.39,HVAC tune up,2,Maintenance,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111
17,20017,2026-03-18,980.28,office snacks,1,Utilities,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,HOBOKEN OFFICE,123 River St,Hoboken,NJ,7030,2015551111
18,20018,2026-03-19,429.21,Conference room cables,4,Office Supplies,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
19,20019,2026-03-20,603.52,Paper order,4,Office Supplies,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
20,20020,2026-03-21,2363.69,Neighborhood mailers,3,Marketing,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
21,20021,2026-03-22,2129.62,Gas service,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
22,20022,2026-03-23,2432.33,Water delivery,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
23,20023,2026-03-24,2085.44,broker event promo,3,Marketing,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
24,20024,2026-03-25,2071.6,gas service,1,Utilities,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,MONTCLAIR OFFICE,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
25,20025,2026-03-26,659.52,Breakroom supplies,4,Office Supplies,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
26,20026,2026-03-27,822.97,Desk chairs,4,Office Supplies,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St.,Jersey City,NJ,7302,2015551212
27,20027,2026-03-28,1847.21,Spring digital ads,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
28,20028,2026-03-29,175.96,paint touch-up,2,Maintenance,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,NEW HAVEN OFFICE,275 Chapel St,New Haven,CT,6510,2035552020
