raw_row_id,office_id,office_name,office_street_address,office_city,office_state,office_zip_code,office_phone_number,empl_id,employee_first_name,employee_last_name,employee_job_title,employment_type,hire_date,employee_email,employee_phone_number,license_id,license_eff_date,license_exp_date,license_state,client_id,client_first_name,client_last_name,client_corp_name,client_tax_id,client_phone_number,client_email,client_type,client_req_id,req_state,req_city,req_zip_code,req_property_type_id,req_property_type_name,req_bedrooms,req_bathrooms,amenity_id,amenity_name,unit_id,property_zip_code,unit_number,building_number,property_street,property_city,property_state,property_county,property_type_id,property_type_name,listing_id,listing_price,listing_status,appointment_id,appointment_date,appointment_time,appointment_notes,appointment_status,transaction_id,transaction_amount,transaction_commission,transaction_date,transaction_type,client_role,open_house_id,open_house_date,open_house_time,neighborhood_zip_code,neighborhood_name,school_id,school_name,school_street,school_city,school_state,school_county,school_zip_code,station_id,transit_type
1,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717,38,Abner,Booth,Senior Agent,FT,3/23/21,abnerbooth@dreamhomesnyc.com,9145550038,1038,3/23/21,3/23/23,NY,39,Owen,Morris,,,5551390039,owen.morris39@email.com,Individual,1000,NY,Hoboken,10601,4,Townhouse,1,2,,,121,10601,,15,Main St,White Plains,NY,Westchester,2,House,121,1177273,Active,1,4/2/26,12:00,follow-up,completed,,,,,,,1,4/6/26,12:00,10601,Downtown White Plains,7,White Plains HS,550 North St,White Plains,NY,Westchester,10601,7,ferry
2,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616,32,Titan,Griffin,Senior Agent,FT,9/11/22,titangriffin@dreamhomesnyc.com,7185550032,1032,9/11/22,9/11/24,NY,120,John,Doe,,,5552200120,john.doe120@email.com,Individual,1001,NY,Brooklyn,11201,3,Apartment,1,2,4,Elevator,103,11201,,693,Court St,Brooklyn,NY,Kings,3,Apartment,103,3737,Active,2,4/3/26,13:30,family interested in schools,completed,,,,,,,,,,11201,Brooklyn Heights,6,Brooklyn Heights Prep,50 Court St,Brooklyn,NY,Kings,11201,6,bus
3,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111,2,Bronson,McCullough,Senior Agent,FT,3/5/20,bronsonmccullough@dreamhomesnyc.com,2015550002,1002,3/5/20,3/5/22,NJ,89,Sara,Cooper,,,5551890089,sara.cooper89@email.com,Individual,1002,NJ,Hoboken,7030,4,Townhouse,4,2,4,Elevator,7,7030,,783,River St,Hoboken,NJ,Hudson,1,Condo,7,1363536,Withdrawn,,,,,,,,,,,,3,4/8/26,13:00,7030,Hoboken,1,Hoboken High,800 Clinton St,Hoboken,NJ,Hudson,7030,1,subway
4,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,(609) 555-1414,23,Ellianna,Nixon,Agent,PT,12/20/20,elliannanixon@dreamhomesnyc.com,609-555-0023,1023,12/20/20,12/20/22,NJ,106,Miles,Lopez,,,5552060106,miles.lopez106@email.com,Individual,1003,NY,Princeton,6510,4,Townhouse,1,2,2,Pool,60,8542,,875,Witherspoon St,Princeton,NJ,Mercer,4,Townhouse,60,1599778,Withdrawn,4,4/5/26,12:00,late showing,scheduled,,,,,,,,,,8542,Princeton Center,4,Princeton High,151 Moore St,Princeton,NJ,Mercer,8542,4,ferry
5,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414,23,Ellianna,Nixon,Agent,PT,12/20/20,elliannanixon@dreamhomesnyc.com,6095550023,1023,12/20/20,12/20/22,NJ,52,Leo,Ng,,,5551520052,leo.ng52@email.com,Individual,1004,NJ,JERSEY CITY,8542,3,Apartment,2,2,2,Pool,70,8542,,535,Mercer St,Princeton,NJ,Mercer,3,Apartment,70,5890,Active,5,4/6/26,13:30,investor inquiry,Scheduled,5,5964.71,147.82,3/6/26,sale,buyer,5,4/10/26,13:00,8542,Princeton Center,4,Princeton High,151 Moore St,Princeton,NJ,Mercer,8542,4,subway
6,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,(718) 555-1616,35,Allison,Chung,Agent,PT,12/17/18,allisonchung@dreamhomesnyc.com,718-555-0035,1035,12/17/18,12/17/20,NY,13,Paul,Reed,,,5551130013,paul.reed13@email.com,Individual,1005,NY,Brooklyn,7030,4,Townhouse,3,3,2,Pool,92,11201,,150,Montague St,Brooklyn,NY,Kings,2,House,92,1710478,Active,6,4/7/26,9:00,family interested in schools,Completed,6,1669516.09,46157.34,3/7/26,sale,buyer,,,,11201,Brooklyn Heights,6,Brooklyn Heights Prep,50 Court St,Brooklyn,NY,Kings,11201,6,ferry
7,1,Hoboken Office,123 River St,Hoboken,NJ,7030,(201) 555-1111,2,Bronson,McCullough,Senior Agent,FT,3/5/20,bronsonmccullough@dreamhomesnyc.com,201-555-0002,1002,3/5/20,3/5/22,NJ,166,Miles,Cole,,,5552660166,miles.cole166@email.com,Individual,1006,NJ,Hoboken,11201,2,House,2,1,4,Elevator,6,7030,,681,Hudson St,Hoboken,NJ,Hudson,2,House,6,799811,Active,7,4/8/26,13:30,commuting buyer,Completed,,,,,,,,,,7030,Hoboken,1,Hoboken High,800 Clinton St,Hoboken,NJ,Hudson,7030,1,ferry
8,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717,37,Nala,Compton,Manager,FT,2/21/20,nalacompton@dreamhomesnyc.com,9145550037,,,,,158,Mia,Hall,,,5552580158,mia.hall158@email.com,Individual,1007,NY,White Plains,10601,4,Townhouse,3,2,2,Pool,115,10601,,845,Mamaroneck Ave,White Plains,NY,Westchester,4,Townhouse,115,997643,Active,8,4/9/26,15:00,family interested in schools,completed,,,,,,,,,,10601,Downtown White Plains,7,White Plains HS,550 North St,White Plains,NY,Westchester,10601,7,train
9,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717,39,Zariyah,Gould,Agent,FT,4/25/22,zariyahgould@dreamhomesnyc.com,9145550039,1039,4/25/22,4/25/24,NY,125,Eva,Garcia,,,5552250125,eva.garcia125@email.com,Individual,1008,NY,White Plains,10601,2,House,1,2,3,Parking,123,10601,,881,Main St,White Plains,NY,Westchester,2,House,123,514768,Pending,9,4/10/26,13:30,late showing,completed,,,,,,,,,,10601,Downtown White Plains,7,White Plains HS,550 North St,White Plains,NY,Westchester,10601,7,subway
10,10,New Haven Office,275 Chapel St,new haven,CT,6510,2035552020,59,Sergio,Harrison,Agent,PT,12/11/21,sergioharrison@dreamhomesnyc.com,2035550059,1059,12/11/21,12/11/23,CT,137,Ruby,Cooper,,,5552370137,ruby.cooper137@email.com,Individual,1009,CT,NEW HAVEN,8542,3,Apartment,2,2,2,Pool,169,6510,,858,Orange St,New Haven,CT,New Haven,3,Apartment,169,3894,Active,10,4/11/26,17:15,late showing,completed,10,3972.1,306.31,3/11/26,rental,owner,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
